Parameter_Tested,Value,CAGR,Sharpe,MaxDD
max_premium,0.5,0.0684365975724861,0.6748906535048104,-0.3073011445221489
max_premium,0.6,0.0723729142599101,0.7162467930452999,-0.28969541298997187
max_premium,0.7,0.07151325706348444,0.7165235374018339,-0.27189153799568816
max_premium,0.8,0.07333193020795403,0.7377384480415478,-0.24794815723794042
max_premium,0.9,0.06990127496339738,0.7096341833339972,-0.24343316659095676
max_premium,None,0.06919912162856545,0.7163354301710396,-0.24415542229026627
stop_cooldown_days,0,0.06919912162856545,0.7163354301710396,-0.24415542229026627
stop_cooldown_days,10,0.0704252815871611,0.7392011020244075,-0.21696963919072465
stop_cooldown_days,20,0.06622566640550454,0.6956180951097296,-0.2336535563876791
stop_cooldown_days,30,0.06949733273460823,0.739690184814896,-0.21357189113210834
stop_cooldown_days,40,0.07201695425378518,0.7649493853121057,-0.21357352876129887
