month,long_ret,short_ret,spread,turnover_long,turnover_short,turnover,cost
202301,0.057263,0.010645,0.062599,1.000000,1.000000,2.000000,0.006000
202302,0.058065,0.014694,0.066789,1.309540,1.390990,2.700530,0.008102
202303,0.031567,-0.017884,0.006470,1.688594,1.500940,3.189534,0.009569
202304,-0.041504,-0.008558,-0.050854,1.456072,1.648527,3.104600,0.009314
202305,0.006476,-0.069935,-0.068853,1.239709,1.511058,2.750767,0.008252
202306,0.003182,-0.004906,-0.005828,1.351440,1.440696,2.792137,0.008376
202307,0.038549,0.165666,0.202787,1.306608,1.486727,2.793335,0.008380
202308,-0.011398,-0.032725,-0.048014,1.926152,1.584431,3.510584,0.010532
202309,-0.012789,0.145898,0.122247,1.810381,1.498302,3.308683,0.009926
202310,-0.002052,-0.004375,-0.014438,1.844891,1.840000,3.684891,0.011055
202311,0.064564,0.020820,0.081579,1.504773,1.419291,2.924063,0.008772
202312,-0.023119,-0.014599,-0.045738,1.769170,1.764447,3.533617,0.010601
202401,-0.191989,0.436218,0.165795,1.531572,1.375603,2.907175,0.008722
202402,0.026693,-0.118128,-0.074061,1.817936,1.649506,3.467442,0.010402
202403,0.052367,0.004270,0.051491,1.884472,1.438806,3.323278,0.009970
202404,0.001591,0.051125,0.062168,1.614834,1.647385,3.262219,0.009787
202405,-0.009215,0.009419,-0.004936,1.775396,1.399936,3.175332,0.009526
202406,-0.078849,0.106599,0.015793,1.693836,1.652393,3.346228,0.010039
202407,-0.012451,0.063689,0.048308,1.842374,1.699985,3.542359,0.010627
202408,-0.005349,0.132050,0.119899,1.535613,1.681978,3.217592,0.009653
202409,0.248203,-0.173552,0.046083,1.775975,1.781770,3.557745,0.010673
202410,0.114137,-0.181174,-0.066402,1.776393,1.201602,2.977995,0.008934
202411,0.083743,0.066546,0.161852,1.409875,1.593217,3.003092,0.009009
202412,-0.028752,0.115549,0.081229,1.511331,1.661238,3.172569,0.009518
202501,-0.005466,-0.051310,-0.056837,1.517804,1.683406,3.201210,0.009604
202502,0.080253,-0.118397,-0.049515,1.475797,1.452497,2.928294,0.008785
202503,0.034966,0.101385,0.133382,1.702317,1.470992,3.173308,0.009520
202504,-0.015474,0.018875,0.018066,1.594423,1.880000,3.474423,0.010423
202505,0.064495,-0.104911,-0.054984,1.674237,1.680658,3.354895,0.010065
202506,0.061327,-0.024770,0.028902,1.488991,1.416481,2.905471,0.008716
202507,0.049221,0.060103,0.101821,1.728769,1.706820,3.435589,0.010307
202508,0.017190,-0.154008,-0.146459,1.803986,1.678380,3.482365,0.010447
202509,0.000915,0.089915,0.084288,1.729002,1.407607,3.136609,0.009410
202510,0.017890,0.011117,0.020899,1.616551,1.723015,3.339566,0.010019
202511,0.000202,-0.000916,-0.007693,1.571591,1.655201,3.226792,0.009680
202512,0.004909,-0.014628,-0.018061,1.773518,1.726282,3.499800,0.010499
