month,Q1,Q2,Q3,Q4,Q5
202301,0.101076,0.085754,0.073945,0.075330,0.070848
202302,0.034672,0.042711,0.033313,0.029820,0.009106
202303,-0.011984,-0.016325,-0.016450,-0.015703,-0.007778
202304,-0.047326,-0.034492,-0.035062,-0.022028,-0.009664
202305,0.043649,0.019045,0.004867,-0.018158,-0.028481
202306,0.032414,0.043577,0.023890,0.015790,0.008746
202307,0.014445,0.009270,0.001010,0.006386,0.016795
202308,0.000546,-0.027193,-0.044591,-0.060013,-0.058459
202309,-0.008647,0.006369,0.002555,0.002754,-0.009468
202310,-0.020078,0.003377,0.000166,-0.015757,-0.023805
202311,0.133239,0.061362,0.050541,0.027135,0.001240
202312,0.054293,-0.008134,-0.020933,-0.030904,-0.024522
202401,-0.216584,-0.213716,-0.196642,-0.185933,-0.126944
202402,0.025854,0.012992,0.048929,0.095496,0.123488
202403,0.045139,0.081206,0.049725,0.024960,-0.001664
202404,-0.047060,-0.036938,-0.028081,0.000407,0.023422
202405,0.003672,-0.011711,-0.013255,-0.016457,-0.011463
202406,-0.070360,-0.091693,-0.101687,-0.092197,-0.058361
202407,0.036773,0.013489,0.006935,0.000860,0.003252
202408,-0.033088,-0.018548,-0.035626,-0.046036,-0.050425
202409,0.238935,0.230999,0.240960,0.235972,0.226878
202410,0.178037,0.088778,0.093294,0.072138,0.014700
202411,0.120058,0.075121,0.061522,0.027480,0.005688
202412,-0.099997,-0.048965,-0.046927,-0.042965,-0.021894
202501,0.002216,-0.010079,-0.018849,-0.019596,-0.021995
202502,0.127954,0.085163,0.090615,0.073955,0.041962
202503,0.020713,0.008232,0.002079,-0.003535,-0.002612
202504,0.015488,-0.015113,-0.020986,-0.031451,-0.033432
202505,0.097369,0.071871,0.053643,0.030685,0.014161
202506,0.085714,0.079905,0.058897,0.051815,0.042867
202507,0.049441,0.054485,0.043647,0.054424,0.050242
202508,0.063609,0.067614,0.089114,0.093406,0.109604
202509,0.003397,0.001174,-0.000997,0.011131,0.025781
202510,0.041138,0.030014,0.012971,0.005258,-0.001209
202511,-0.010768,0.014491,0.002707,-0.016718,-0.029620
202512,-0.006784,0.006118,0.015863,0.029467,0.041649
